# D Straucht and B Dornerj
#J. Phys.: Condens. Matter 2 (1990) 1457-1474
#001
0.0	8.13	8.79
0.1	8.11	8.78
0.15	-	-
0.2	8.04	8.80
0.3	7.94	8.68
0.4	7.85	8.59
0.5	7.77	8.46
0.6	7.71	8.28
0.7	7.64	8.05
0.75	-	-
0.8	7.73	7.75
0.85	-	7.59
0.9	7.73	7.38
0.925	-	-
0.95	-	7.25
0.975	-	-
1.0	7.69	7.20
0.0	-	-
0.1	0.64	0.91
0.15	-	1.38
0.2	1.17	1.79
0.3	1.60	2.55
0.4	1.93	3.32
0.5	2.17	4.04
0.6	2.32	4.72
0.7	2.40	5.35
0.75	2.42	5.65
0.8	2.43	5.93
0.85	2.44	6.18
0.9	2.44	6.43
0.925	-	6.53
0.95	2.45	6.62
0.975	-	6.70
1.0	2.45	6.75


#110
0.0	8.13	8.13	8.79
0.025	-	-	8.81
0.05	-	8.14	8.75
0.1	8.05	8.13	8.73
0.15	-	8.09	8.68
0.2	8.00	8.03	8.58
0.25	-	7.95	8.48
0.3	7.93	7.88	8.37
0.35	-	7.72	8.27
0.4	7.84	7.58	8.22
0.45	-	7.41	8.21
0.5	7.77	7.25	8.24
0.55	-	-	8.21
0.6	7.71	6.91	8.19
0.65	-	-	8.17
0.7	7.70	6.64	8.15
0.75	-	6.63	8.08
0.8	7.69	6.77	8.01
0.85	-	6.93	7.92
0.9	7.69	7.16	7.82
0.95	-	7.24	7.72
1.0	7.69	7.20	7.69
0.0	-	-	-
0.025	-	-	-
0.05	-	-	-
0.1	0.66	-	1.40
0.15	-	1.16	1.97
0.2	1.20	1.54	2.56
0.25	-	1.88	3.04
0.3	1.65	2.22	3.49
0.35	-	2.45	-
0.4	2.01	2.71	4.27
0.45	-	2.92	-
0.5	2.25	3.11	4.92
0.55	-	3.27	5.19
0.6	2.40	3.39	5.46
0.65	-	3.45	5.71
0.7	2.46	3.44	5.92
0.75	2.43	3.35	6.11
0.8	2.44	3.17	6.25
0.85	-	2.92	6.37
0.9	2.43	2.68	6.54
0.95	-	-	-
1.0	2.45	2.45	6.75


#111
0.0	8.13	8.79
0.025	-	8.79
0.05	-	8.78
0.075	-	8.76
0.1	8.10	8.73
0.15	-	8.64
0.2	7.92	8.51
0.25	-	8.32
0.3	7.93	8.16
0.35	-	7.82
0.4	7.89	7.57
0.45	-	7.34
0.475	-	7.28
0.5	7.90	7.25
0.0	-	-
0.025	-	-
0.05	0.44	0.87
0.075	-	-
0.1	0.83	1.72
0.15	1.15	2.48
0.2	1.40	3.23
0.25	1.60	3.93
0.3	1.73	4.56
0.35	1.82	5.14
0.4	1.87	5.64
0.45	1.90	6.04
0.475	-	6.17
0.5	1.90	6.20


#L-X
0.0	7.25	7.90	7.90
0.05	7.27	-	-
0.1	7.20	7.80	8.03
0.15	7.11	7.74	8.09
0.2=	7.09	7.76	8.10
0.25	-	7.71	8.07
0.3	7.10	7.71	8.04
0.35	-	7.69	7.97
0.4	-	7.69	7.85
0.45	7.16	7.68	-
0.5	7.20	7.69	7.69
0.0	1.90	1.90	6.20
0.05	1.91(3)	2.08	-
0.1	2.02(4)	2.29	5.84
0.15	2.15(5)	2.70	5.59
0.2=	2.26(4)	3.00	5.37
0.25	2.34	3.14	5.46
0.3	2.39	3.09	5.57
0.35	2.39	2.80	5.90
0.4	2.35	2.54	6.28
0.45	-	-	6.60
0.5	2.45	2.45	6.75


#X-W
0.0	7.20	7.69	7.69
0.025	7.18	-	
0.05	7.15	-	
0.075	7.12	-	
0.1	7.07	-	
0.15	6.97	-	
0.2	6.84	7.64(5)	7.92
0.25	6.71	-	-
0.3	6.56	7.69(3)	7.80
0.35	6.44	-	-
0.4	6.33	7.68	8.06
0.425	6.27	-	-
0.45	6.23	-	-
0.475	6.21	-	-
0.5	6.25	7.68	8.06
0.0	2.45	2.45	6.75
0.025	-	-	6.73
0.05	-	-	6.70
0.075	-	-	6.67
0.1	2.43	2.55	6.63
0.15	2.47	2.66	6.55
0.2	2.57	2.83	6.45
0.25	-	-	6.35
0.3	2.77	3.12	6.25
0.35	2.86	3.24	6.15
0.4	2.97	3.36	6.05
0.425	-	-	6.00
0.45	3.02	3.40	5.95
0.475	-	-	5.91
0.5	3.02	3.41	5.92


#W-L
0	6.25	7.68	8.06
0.05	6.37	7.76	8.02
0.1	6.51	7.73	8.07
0.15	6.67	7.75	8.08
0.2	6.79	7.81	8.13
0.25	6.95	7.90	8.12
0.3	7.00	7.87	8.09
0.35	7.16	-	-
0.4	7.20	7.92	8.14
0.45	7.29	7.83	8.02
0.5	7.25	7.90	7.90
0	3.02	3.41	5.92
0.05	2.99	3.42	5.99
0.1	2.88	3.41	5.85
0.15	2.77	3.41	5.72
0.2	2.60	3.31	5.64
0.25	2.46	3.16	5.61
0.3	2.29	2.90	5.65
0.35	2.13	2.61	5.79
0.4	2.01	2.27	5.97
0.45	1.91	2.00	6.16
0.5	1.90	1.90	6.20

